ano,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
2017,0.5140683044,0.4690902762,0.5114321321,0.4471398272,0.4981540271,0.4508907436,0.4534881126,0.5174408737,0.5479940583,0.5847791427,0.5125453873,0.5353323443
2016,0.4605649959,0.4529098059,0.4540632207,0.4488657268,0.4524613082,0.4287378483,0.4508648509,0.4432494526,0.4682572704,0.509283095,0.4938668686,0.5110177888
2015,0.5167582657,0.4202182155,0.4667455271,0.4605079058,0.4424669676,0.4264187936,0.4182570592,0.4493985817,0.4427050097,0.4855576564,0.4514018955,0.5152500598
